idx,kind,start,end,dur,peak_db,p90_db,med_db,snr_peak,silero_peak,silero_mean,flatness,never_decoded_frac,gap_prev,gap_next,asr_text,asr_nsp,asr_lp,text_class,verdict,clip,label,grp
0,added,9.28,10.635,1.355,-43.1,-46.0,-51.6,30.2,1.0,0.08,0.053,0.48,0.0,0.0,ご視聴ありがとうございました,0.0,-0.59,hallucination,delegate,BV1cqLR6hEp3,幻觉,B 新增未解码待判
7,added,47.84,48.07,0.23,-34.7,-36.1,-38.1,14.3,1.0,0.55,0.056,0.0,0.0,0.14,おわり,0.0,-1.19,real,real,BV1cqLR6hEp3,语气词,C 新增已解码
10,added,72.77,72.895,0.125,-34.0,-36.4,-49.4,22.1,1.0,0.88,0.017,0.0,0.0,0.0,それではまた。,0.0,-1.19,real,real,BV1cqLR6hEp3,语气词,C 新增已解码
13,added,115.7,115.845,0.145,-49.6,-66.5,-100.0,46.4,0.99,0.55,0.707,0.0,0.0,0.0,それではまた。,0.0,-1.44,real,real,BV1cqLR6hEp3,语气词,C 新增已解码
20,added,175.6,177.035,1.435,11.8,-3.3,-15.5,66.4,0.31,0.08,0.065,0.51,0.0,0.0,あ…,0.0,-1.44,filler,ambiguous,BV1cqLR6hEp3,语气词,B 新增未解码待判
21,added,181.4,181.555,0.155,-16.2,-18.4,-29.0,38.3,0.22,0.14,0.055,0.0,0.0,0.0,ご視聴ありがとうございました,0.0,-0.48,hallucination,ambiguous,BV1cqLR6hEp3,语气词,C 新增已解码
24,added,189.16,190.275,1.115,-41.3,-52.1,-62.6,39.3,0.3,0.03,0.144,0.37,0.0,0.0,ご視聴ありがとうございました,0.0,-0.45,hallucination,ambiguous,BV1cqLR6hEp3,幻觉,B 新增未解码待判
28,added,203.42,204.875,1.455,-6.7,-15.0,-32.2,38.2,1.0,0.11,0.037,0.52,0.0,0.0,ご視聴ありがとうございました,0.0,-0.3,hallucination,ambiguous,BV1cqLR6hEp3,幻觉,B 新增未解码待判
40,added,261.63,262.84,1.21,-12.7,-27.3,-42.3,43.5,0.72,0.1,0.227,0.42,0.0,0.43,ご視聴ありがとうございました,0.0,-0.53,hallucination,ambiguous,BV1cqLR6hEp3,幻觉,B 新增未解码待判
45,added,292.98,293.615,0.635,-18.5,-22.8,-31.6,31.7,0.07,0.02,0.153,0.0,0.0,0.0,ご視聴ありがとうございました,0.0,-0.59,hallucination,jitter_silero,BV1cqLR6hEp3,噪声/抖动,F 抖动抽查
47,added,296.44,297.795,1.355,-8.7,-15.3,-26.6,27.9,0.96,0.08,0.056,0.48,0.0,0.0,ご視聴ありがとうございました,0.0,-0.43,hallucination,ambiguous,BV1cqLR6hEp3,幻觉,B 新增未解码待判
48,added,301.01,301.555,0.545,-3.3,-7.9,-15.6,23.7,0.98,0.27,0.013,0.0,0.0,0.0,ありがとうございました。,0.0,-1.15,real,real,BV1cqLR6hEp3,语气词,C 新增已解码
53,added,326.66,327.02,0.36,10.3,-0.6,-25.4,45.2,0.8,0.38,0.043,0.0,0.0,1.56,ありがとうございました。,0.0,-1.58,real,real,BV1cqLR6hEp3,语气词,C 新增已解码
57,added,356.26,356.445,0.185,-18.0,-20.5,-33.3,27.2,0.92,0.61,0.105,0.0,0.0,0.0,おわり,0.0,-1.26,real,real,BV1cqLR6hEp3,语气词,C 新增已解码
73,added,459.43,460.865,1.435,-15.0,-19.8,-30.2,47.2,0.81,0.04,0.035,0.51,0.0,0.0,ご視聴ありがとうございました,0.0,-0.58,hallucination,ambiguous,BV1cqLR6hEp3,幻觉,B 新增未解码待判
80,added,497.17,497.48,0.31,-17.4,-22.0,-29.0,24.9,0.99,0.44,0.071,0.0,0.0,0.55,ご視聴ありがとうございました,0.0,-0.48,hallucination,ambiguous,BV1cqLR6hEp3,语气词,C 新增已解码
89,empty,6.255,6.79,0.535,-14.3,-17.1,-40.1,57.3,0.59,0.2,0.018,0.0,0.77,0.68,はい。,0.0,-1.29,filler,ambiguous,BV1cqLR6hEp3,噪声/抖动,E empty待判
91,empty,98.805,99.74,0.935,-24.8,-39.7,-99.9,72.8,0.04,0.01,0.535,0.0,0.5,0.07,おわり,0.0,-1.08,real,real,BV1cqLR6hEp3,幻觉,D empty有文本
92,empty,99.805,100.68,0.875,-11.4,-33.1,-81.3,86.0,0.15,0.02,0.469,0.0,0.07,0.39,おわり,0.0,-1.04,real,real,BV1cqLR6hEp3,幻觉,D empty有文本
93,empty,101.065,101.46,0.395,-4.7,-9.2,-69.5,92.8,0.61,0.12,0.441,0.0,0.39,1.9,おわり,0.0,-1.25,real,real,BV1cqLR6hEp3,幻觉,D empty有文本
94,empty,103.365,105.14,1.775,2.7,-0.4,-41.1,99.8,0.58,0.15,0.204,0.0,1.9,0.61,ああああ,0.0,-1.46,hallucination,ambiguous,BV1cqLR6hEp3,语气词,E empty待判
95,empty,110.205,111.01,0.805,-19.8,-25.6,-60.0,77.4,0.11,0.03,0.3,0.0,0.72,0.11,ご視聴ありがとうございました,0.0,-0.16,hallucination,jitter_silero,BV1cqLR6hEp3,噪声/抖动,F 抖动抽查
96,empty,111.125,111.46,0.335,-50.9,-62.2,-100.0,46.6,0.01,0.0,0.597,0.0,0.11,0.08,おわり,0.0,-1.22,real,real,BV1cqLR6hEp3,幻觉,D empty有文本
97,empty,115.845,116.5,0.655,2.5,2.2,-0.5,98.4,0.97,0.53,0.202,0.0,0.15,0.06,おわり,0.0,-0.93,real,real,BV1cqLR6hEp3,幻觉,D empty有文本
98,empty,156.475,157.21,0.735,-17.9,-24.5,-57.2,76.1,0.11,0.04,0.333,0.0,0.13,0.28,おわり,0.0,-1.14,real,real,BV1cqLR6hEp3,噪声/抖动,D empty有文本
100,empty,183.975,185.17,1.195,5.9,1.8,-9.5,58.7,0.77,0.27,0.048,0.0,0.31,0.7,あい…,0.0,-1.14,real,real,BV1cqLR6hEp3,语气词,D empty有文本
102,empty,216.015,216.86,0.845,-3.0,-8.4,-16.6,38.4,0.02,0.01,0.02,0.0,0.54,0.42,おわり,0.0,-1.05,real,real,BV1cqLR6hEp3,幻觉,D empty有文本
103,empty,217.275,219.16,1.885,6.6,-1.8,-29.6,81.3,0.94,0.19,0.124,0.0,0.42,4.7,ああああ,0.0,-0.95,hallucination,ambiguous,BV1cqLR6hEp3,语气词,E empty待判
