clip,idx,label
yingtao,0,真语音
yingtao,4,听不清
yingtao,6,听不清
yingtao,25,真语音
yingtao,86,听不清
yingtao,98,语气词
yingtao,105,真语音
yingtao,107,听不清
yingtao,108,真语音
yingtao,133,真语音
yingtao,174,真语音
yingtao,182,真语音
yingtao,197,真语音
yingtao,215,真语音
BV1cqLR6hEp3,0,幻觉
BV1cqLR6hEp3,20,语气词
BV1cqLR6hEp3,24,幻觉
BV1cqLR6hEp3,28,幻觉
BV1cqLR6hEp3,40,幻觉
BV1cqLR6hEp3,47,幻觉
BV1cqLR6hEp3,73,幻觉
yingtao,15,听不清
yingtao,43,幻觉
yingtao,54,真语音
yingtao,142,真语音
yingtao,148,真语音
yingtao,150,听不清
yingtao,156,语气词
yingtao,161,幻觉
yingtao,190,语气词
yingtao,208,幻觉
BV1cqLR6hEp3,7,语气词
BV1cqLR6hEp3,10,语气词
BV1cqLR6hEp3,13,语气词
BV1cqLR6hEp3,21,语气词
BV1cqLR6hEp3,48,语气词
BV1cqLR6hEp3,53,语气词
BV1cqLR6hEp3,57,语气词
BV1cqLR6hEp3,80,语气词
kaguya60,7,语气词
kaguya60,10,语气词
kaguya60,21,语气词
kaguya60,45,语气词
kaguya60,57,语气词
kaguya60,93,语气词
kaguya60,117,语气词
kaguya60,136,语气词
yingtao,17,真语音
yingtao,24,语气词
yingtao,32,真语音
yingtao,51,语气词
yingtao,106,语气词
yingtao,125,语气词
yingtao,137,语气词
yingtao,185,真语音
BV1cqLR6hEp3,91,幻觉
BV1cqLR6hEp3,92,幻觉
BV1cqLR6hEp3,93,幻觉
BV1cqLR6hEp3,96,幻觉
BV1cqLR6hEp3,97,幻觉
BV1cqLR6hEp3,98,噪声/抖动
BV1cqLR6hEp3,100,语气词
BV1cqLR6hEp3,102,幻觉
BV1cqLR6hEp3,107,幻觉
BV1cqLR6hEp3,110,幻觉
BV1cqLR6hEp3,112,噪声/抖动
BV1cqLR6hEp3,115,幻觉
BV1cqLR6hEp3,119,语气词
BV1cqLR6hEp3,124,幻觉
kaguya60,150,幻觉
kaguya60,155,幻觉
kaguya60,156,幻觉
kaguya60,160,幻觉
kaguya60,161,幻觉
kaguya60,191,幻觉
kaguya60,196,语气词
kaguya60,242,幻觉
kaguya60,252,幻觉
kaguya60,255,幻觉
kaguya60,260,幻觉
kaguya60,272,幻觉
kaguya60,279,幻觉
kaguya60,284,幻觉
kaguya60,297,幻觉
yingtao,223,真语音
yingtao,227,真语音
yingtao,228,真语音
yingtao,229,真语音
yingtao,232,真语音
yingtao,237,真语音
yingtao,255,真语音
yingtao,257,真语音
yingtao,285,真语音
yingtao,288,真语音
yingtao,289,真语音
yingtao,290,真语音
yingtao,312,真语音
yingtao,314,真语音
yingtao,324,语气词
BV1cqLR6hEp3,89,噪声/抖动
BV1cqLR6hEp3,94,语气词
BV1cqLR6hEp3,103,语气词
BV1cqLR6hEp3,106,语气词
BV1cqLR6hEp3,108,语气词
BV1cqLR6hEp3,109,语气词
BV1cqLR6hEp3,116,语气词
BV1cqLR6hEp3,118,语气词
BV1cqLR6hEp3,120,语气词
BV1cqLR6hEp3,121,语气词
kaguya60,170,真语音
kaguya60,182,语气词
kaguya60,185,真语音
kaguya60,187,真语音
kaguya60,214,语气词
kaguya60,228,语气词
kaguya60,234,语气词
kaguya60,253,幻觉
kaguya60,293,听不清
kaguya60,302,语气词
yingtao,224,语气词
yingtao,225,语气词
yingtao,235,真语音
yingtao,240,语气词
yingtao,249,语气词
yingtao,258,语气词
yingtao,271,语气词
yingtao,282,真语音
yingtao,296,幻觉
yingtao,300,语气词
BV1cqLR6hEp3,95,噪声/抖动
BV1cqLR6hEp3,111,噪声/抖动
BV1cqLR6hEp3,45,噪声/抖动
BV1cqLR6hEp3,125,噪声/抖动
BV1cqLR6hEp3,126,噪声/抖动
kaguya60,144,噪声/抖动
kaguya60,146,噪声/抖动
kaguya60,148,噪声/抖动
kaguya60,162,噪声/抖动
kaguya60,245,噪声/抖动
yingtao,64,噪声/抖动
yingtao,112,噪声/抖动
yingtao,205,噪声/抖动
yingtao,212,噪声/抖动
yingtao,320,语气词
